(5.181818181818182, 1.0, 0.0, 3, 0.13636363636363635, 0)
(5.444444444444445, 0.0, 0.0, 2, 0.2222222222222222, 0)
(5.594594594594595, 2.0, 0.9, 3, 0.08108108108108109, 1)
(6.08, 1.0, 0.9, 4, 0.16, 1)
(5.108695652173913, 7.0, 4.1, 11, 0.2391304347826087, 1)
(5.166666666666667, 1.0, 0.1, 5, 0.11904761904761904, 0)
(5.043478260869565, 5.0, 2.8, 10, 0.21739130434782608, 1)
(5.466666666666667, 8.0, 3.3, 7, 0.23333333333333334, 1)
(3.7, 3.0, 1.0, 3, 0.3, 1)
(6.285714285714286, 1.0, 0.8, 1, 0.07142857142857142, 1)
(5.2, 4.0, 0.2, 1, 0.1, 0)
(4.538461538461538, 4.0, 1.8, 6, 0.46153846153846156, 1)
(5.913043478260869, 13.0, 4.8, 21, 0.22826086956521738, 1)
(5.844444444444444, 9.0, 2.1, 10, 0.2222222222222222, 1)
(5.545454545454546, 0.0, 0.0, 6, 0.10909090909090909, 0)
