(1.0, 4.636363636363637, 4.0, 3, 0.2727272727272727)
(1.0, 5.1, 2.0, 3, 0.3)
(-3.0, 5.111111111111111, -3.0, 1, 0.1111111111111111)
(0.0, 5.5, 1.0, 1, 0.25)
(1.0, 4.666666666666667, 1.0, 1, 0.1111111111111111)
(0.0, 4.333333333333333, 0.0, 1, 0.16666666666666666)
(1.0, 6.8, 1.0, 0, 0.0)
(0.0, 4.888888888888889, 0.0, 2, 0.2222222222222222)
(1.0, 5.0, 1.0, 1, 0.125)
(0.0, 4.9, 0.0, 2, 0.2)
(0.0, 5.6, 0.0, 0, 0.0)
(1.0, 5.222222222222222, 3.0, 4, 0.4444444444444444)
(0.0, 6.166666666666667, 1.0, 2, 0.3333333333333333)
(0.0, 5.181818181818182, 0.0, 1, 0.09090909090909091)
(0.0, 4.8, 0.0, 0, 0.0)
(0.0, 4.888888888888889, 0.0, 0, 0.0)
(-1.0, 3.5714285714285716, -1.0, 1, 0.14285714285714285)
(-2.0, 4.285714285714286, -2.0, 1, 0.14285714285714285)
